name,percentage,conversations
EN,46.53,1683
No Action Taken,7.16,259
Uncategorized,7.02,254
Help Me,6.33,229
Fan Luv,5.47,198
NL,3.68,133
Accessibility,0.03,1
Add-ons,0.11,4
FR,1.99,72
AoA,1.96,71
reality,1.94,70
CZ,1.16,42
Android,0.94,34
Not Fan Luv,0.91,33
Bookmarks,0.66,24
Bug Test,0.03,1
Cert Issues,0.08,3
chinese,0.06,2
ChromeDefection,0.06,2
comparison,0.03,1
Press Release,0.61,22
PT-BR,0.58,21
Controversial,0.19,7
Firefox iOS,0.5,18
cookies,0.17,6
DE,0.64,23
Enterprise,0.03,1
Crashes,0.28,10
ES,2.32,84
Firefox Focus,0.3,11
FireTV,0.17,6
hate tweets,0.03,1
Indonesian,0.03,1
IT,0.19,7
Klar,0.03,1
Nightly,0.33,12
password,0.03,1
contains_photo,0.06,2
Pending,0.77,28
PL,0.06,2
Privacy,0.06,2
RAM,0.75,27
russian,0.14,5
self-hos,0.06,2
Containers,0.03,1
slow,0.55,20
spam,0.03,1
Sync,0.8,29
Test Pilot,0.06,2
Theme,0.03,1
Firefox Data,0.03,1
TR,2.54,92
TrackingProtection,0.08,3
userchrome,0.03,1
Video,0.64,23
VPN,0.22,8
feature request,0.03,1
WebDev,0.44,16
Z_RETIRED,0.03,1
Solved,0.03,1